id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4611736,VILLA MAGRITTE  ( APT 2° Piano ),23893747,Marco,,XV Cassia/Flaminia,42.01552,12.47867,Entire home/apt,239,1,0,,,3,365,0,
4613845,Casa di Bine - Perfect for families al Colosseo,22255994,Giuseppina,,I Centro Storico,41.89092,12.49763,Entire home/apt,173,2,68,2019-10-19,0.82,2,337,2,
4614766,Romantic Room -San Giovanni Mondovì,16126003,Alessandro,,VII San Giovanni/Cinecittà,41.87903,12.51641,Private room,58,1,1,2019-06-01,0.03,3,365,0,
4614898,Vintage Room,16126003,Alessandro,,VII San Giovanni/Cinecittà,41.87712,12.51589,Private room,49,1,7,2016-05-05,0.23,3,180,1,
4614976,Modern Room,16126003,Alessandro,,VII San Giovanni/Cinecittà,41.87757,12.51621,Private room,45,1,0,,,3,180,0,
4615079,Casa Taranto vicino Re di Roma,23908486,Emilia,,VII San Giovanni/Cinecittà,41.8838,12.52047,Private room,70,1,0,,,1,365,0,
4615164,Fitzroy Apartment in rome centre,465831,Gabriel,,II Parioli/Nomentano,41.91053,12.50286,Private room,161,2,2,2015-03-16,0.04,2,365,0,
4618313,"Lovely Studio in the ""Dolce Vita"" district",5235170,Michele,,I Centro Storico,41.9103,12.49504,Entire home/apt,79,1,51,2018-09-29,0.66,5,360,0,
4618406,Zweizimmerwohnung für Studenten,8687673,Simona,,XI Arvalia/Portuense,41.86383,12.4713,Entire home/apt,60,30,0,,,1,364,0,
4618962,Delightful Loft with Private Terrace,5235170,Michele,,I Centro Storico,41.91031,12.49453,Entire home/apt,90,1,44,2019-01-04,0.53,5,318,0,
4620545,"Roma, Monteverde,camera max4persone",23933085,Martin,,XII Monte Verde,41.86875,12.44628,Private room,50,1,32,2017-05-21,0.40,1,0,0,
4625641,Villa Tiberina Roma,23958544,Alessandro,,XV Cassia/Flaminia,42.00837,12.50475,Entire home/apt,180,5,6,2016-12-30,0.10,1,364,0,
4625827,Sunny Attic Sea View,5613531,Stefano,,X Ostia/Acilia,41.72549,12.28898,Entire home/apt,52,2,4,2021-09-12,0.05,1,17,1,
4626266,"""Vatican Domus"" - Standard Room",22225418,Maria,,I Centro Storico,41.90755,12.46728,Private room,120,1,6,2017-06-16,0.11,3,365,0,
4626395,"""Vatican Domus""- Deluxe Luxury Room",22225418,Maria,,I Centro Storico,41.9058,12.46631,Private room,110,1,3,2017-04-24,0.04,3,365,0,
4631468,Apartment with big terrace,23979415,Michele,,VIII Appia Antica,41.87536,12.47948,Entire home/apt,65,6,1,2016-04-10,0.01,1,0,0,
4634178,New Year's Eve Party,16957379,Pier Dante Filippo,,XIII Aurelia,41.92749,12.37427,Private room,35,2,1,2019-02-18,0.03,5,365,0,
4634280,Spacious Apartment near the Vatican,16957379,Pier Dante Filippo,,XIII Aurelia,41.92865,12.37407,Private room,35,1,2,2016-08-06,0.03,5,365,0,
